Rating	timestamp	id_convert	user_convert
10.0	5.317833292109819	31	8
10.0	42.69107098689092	44	8
10.0	49.616621320801386	39	8
9.0	44.224585703685385	54	8
9.0	41.94904773682909	37	8
8.0	0.7667573583972298	23	8
10.0	43.65570121197131	32	8
10.0	86.94039079891171	5	8
9.0	56.93791738807816	40	8
10.0	47.31634924560969	48	8
9.0	41.825377195152114	41	8
9.0	52.80732129606728	19	8
8.0	76.77467227306455	2	8
9.0	82.95819935691318	4	8
10.0	33.14370516942864	24	8
10.0	50.779124412564926	27	8
8.0	78.95127380657927	28	8
7.0	50.28444224585704	20	8
9.0	79.96537224833045	10	8
8.0	40.41553302003463	16	8
6.0	78.92653969824389	3	8
10.0	44.91714073707643	43	8
9.0	55.50333910462528	21	8
9.0	46.64852832055404	58	8
10.0	59.163987138263664	56	8
8.0	41.97378184516448	7	8
10.0	63.59139253029929	22	8
9.0	36.433341578036114	45	8
9.0	76.45312886470442	57	8
10.0	57.729408854810785	0	8
10.0	52.263170912688594	49	8
5.0	61.39005688844917	42	8
9.0	63.29458323027455	46	8
10.0	41.825377195152114	12	8
10.0	60.89537472174128	30	8
9.0	71.80311649765025	25	8
9.0	47.7368290873114	6	8
10.0	27.80113776898343	34	8
9.0	94.1132822161761	31	667
9.0	86.02522879050211	37	667
8.0	88.86965124907246	5	667
8.0	94.08854810784071	40	667
6.0	87.03932723225327	4	667
7.0	94.1132822161761	20	667
7.0	94.1132822161761	22	667
7.0	94.53376205787781	33	667
4.0	92.48083106604007	8	667
7.0	94.08854810784071	46	667
9.0	94.21221864951768	25	667
8.0	3.6606480336383878	31	18
10.0	42.61686866188474	44	18
10.0	21.840217660153353	39	18
7.0	26.292357160524364	54	18
9.0	19.787286668315605	52	18
7.0	35.29557259460797	37	18
9.0	0.17313875834776157	23	18
9.0	40.21766015335147	32	18
9.0	47.34108335394509	48	18
10.0	41.92431362849369	41	18
8.0	18.87212465990601	35	18
10.0	32.79742765273312	24	18
10.0	12.663863467721988	38	18
10.0	3.0422953252535248	11	18
7.0	34.479347019539944	59	18
6.0	28.76576799406381	28	18
8.0	10.833539450902794	1	18
8.0	46.79693297056641	20	18
6.0	13.010140984417513	10	18
10.0	37.07642839475637	16	18
7.0	1.7808558001484047	3	18
9.0	42.19638882018303	43	18
9.0	37.818451644818204	9	18
8.0	7.890180558990849	15	18
8.0	29.953005194162753	18	18
10.0	0.7914914667326243	51	18
9.0	26.21815483551818	50	18
9.0	38.43680435320307	7	18
9.0	11.79816967598318	33	18
7.0	35.048231511254016	45	18
9.0	8.33539450902795	53	18
7.0	24.73410833539451	8	18
9.0	6.035122433836261	17	18
9.0	33.95993074449667	13	18
6.0	32.57482067771457	29	18
7.0	30.15087806084591	47	18
